2019-05-21 22:32:53 iter:0, accuracy=10.55%
2019-05-21 22:32:58 iter:1, accuracy=8.98%
2019-05-21 22:33:03 iter:2, accuracy=10.16%
2019-05-21 22:33:07 iter:3, accuracy=9.18%
2019-05-21 22:33:12 iter:4, accuracy=9.77%
2019-05-21 22:33:17 iter:5, accuracy=9.96%
2019-05-21 22:33:21 iter:6, accuracy=10.74%
2019-05-21 22:33:26 iter:7, accuracy=8.4%
2019-05-21 22:33:32 iter:8, accuracy=8.4%
2019-05-21 22:33:37 iter:9, accuracy=13.48%
2019-05-21 22:33:41 iter:10, accuracy=9.18%
2019-05-21 22:33:47 iter:11, accuracy=10.16%
2019-05-21 22:33:52 iter:12, accuracy=8.59%
2019-05-21 22:33:57 iter:13, accuracy=9.96%
2019-05-21 22:34:04 iter:14, accuracy=9.38%
2019-05-21 22:34:09 iter:15, accuracy=13.48%
2019-05-21 22:34:14 iter:16, accuracy=13.09%
2019-05-21 22:34:20 iter:17, accuracy=10.74%
2019-05-21 22:34:26 iter:18, accuracy=10.74%
2019-05-21 22:34:32 iter:19, accuracy=8.59%
2019-05-21 22:34:38 iter:20, accuracy=13.28%
2019-05-21 22:34:44 iter:21, accuracy=7.03%
2019-05-21 22:34:50 iter:22, accuracy=11.52%
2019-05-21 22:34:56 iter:23, accuracy=10.94%
2019-05-21 22:35:02 iter:24, accuracy=16.41%
2019-05-21 22:35:08 iter:25, accuracy=9.57%
2019-05-21 22:35:13 iter:26, accuracy=10.35%
2019-05-21 22:35:19 iter:27, accuracy=15.62%
2019-05-21 22:35:25 iter:28, accuracy=11.72%
2019-05-21 22:35:31 iter:29, accuracy=10.16%
2019-05-21 22:35:37 iter:30, accuracy=11.72%
2019-05-21 22:35:43 iter:31, accuracy=9.57%
2019-05-21 22:35:48 iter:32, accuracy=9.77%
2019-05-21 22:35:54 iter:33, accuracy=9.38%
2019-05-21 22:36:00 iter:34, accuracy=10.74%
2019-05-21 22:36:05 iter:35, accuracy=8.59%
2019-05-21 22:36:11 iter:36, accuracy=10.94%
2019-05-21 22:36:17 iter:37, accuracy=11.72%
2019-05-21 22:36:23 iter:38, accuracy=9.38%
2019-05-21 22:36:28 iter:39, accuracy=11.33%
2019-05-21 22:36:34 iter:40, accuracy=11.33%
2019-05-21 22:36:41 iter:41, accuracy=9.38%
2019-05-21 22:36:47 iter:42, accuracy=10.74%
2019-05-21 22:36:52 iter:43, accuracy=8.59%
2019-05-21 22:36:58 iter:44, accuracy=10.74%
2019-05-21 22:37:04 iter:45, accuracy=12.3%
2019-05-21 22:37:10 iter:46, accuracy=11.13%
2019-05-21 22:37:16 iter:47, accuracy=9.38%
2019-05-21 22:37:22 iter:48, accuracy=16.21%
2019-05-21 22:37:28 iter:49, accuracy=11.72%
2019-05-21 22:37:34 iter:50, accuracy=10.94%
2019-05-21 22:37:40 iter:51, accuracy=12.89%
2019-05-21 22:37:47 iter:52, accuracy=9.18%
2019-05-21 22:37:54 iter:53, accuracy=17.58%
2019-05-21 22:38:01 iter:54, accuracy=11.91%
2019-05-21 22:38:07 iter:55, accuracy=14.84%
2019-05-21 22:38:13 iter:56, accuracy=20.51%
2019-05-21 22:38:19 iter:57, accuracy=10.94%
2019-05-21 22:38:25 iter:58, accuracy=16.21%
2019-05-21 22:38:31 iter:59, accuracy=13.28%
2019-05-21 22:38:38 iter:60, accuracy=9.96%
2019-05-21 22:38:44 iter:61, accuracy=18.55%
2019-05-21 22:38:51 iter:62, accuracy=12.3%
2019-05-21 22:38:57 iter:63, accuracy=12.89%
2019-05-21 22:39:04 iter:64, accuracy=16.99%
2019-05-21 22:39:10 iter:65, accuracy=11.52%
2019-05-21 22:39:17 iter:66, accuracy=11.52%
2019-05-21 22:39:23 iter:67, accuracy=16.99%
2019-05-21 22:39:29 iter:68, accuracy=13.28%
2019-05-21 22:39:36 iter:69, accuracy=16.41%
2019-05-21 22:39:43 iter:70, accuracy=13.87%
2019-05-21 22:39:50 iter:71, accuracy=12.89%
2019-05-21 22:39:57 iter:72, accuracy=13.28%
2019-05-21 22:40:04 iter:73, accuracy=17.97%
2019-05-21 22:40:11 iter:74, accuracy=12.3%
2019-05-21 22:40:18 iter:75, accuracy=16.99%
2019-05-21 22:40:25 iter:76, accuracy=9.57%
2019-05-21 22:40:32 iter:77, accuracy=11.72%
2019-05-21 22:40:39 iter:78, accuracy=16.6%
2019-05-21 22:40:47 iter:79, accuracy=16.41%
2019-05-21 22:40:55 iter:80, accuracy=16.99%
2019-05-21 22:41:03 iter:81, accuracy=15.62%
2019-05-21 22:41:10 iter:82, accuracy=19.53%
2019-05-21 22:41:19 iter:83, accuracy=15.82%
